, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",90,58,31,1,0
"""8 to 14 days""",12,12,0,0,0
"""15 to 21 days""",8,8,0,0,0
"""22 to 30 days""",6,4,2,0,0
"""31 to 60 days""",26,18,8,0,0
"""61 to 180 days""",59,28,31,0,0
"""181 to 365 days""",32,17,15,0,0
"""366-730 days (1-2 years)""",28,27,1,0,0
"""731 days or more""",60,45,15,0,0
"""Total (persons moved into housing)""",321,217,103,1,0
"""Not yet moved into housing""",23,18,5,0,0
"""Data not collected""",20,15,5,0,0
"""Total persons""",364,250,113,1,0
