count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,281,59,125,stayers,2019-04-01,2019-04-30,Q13c2,without_children,82
None,281,59,125,stayers,2019-04-01,2019-04-30,Q13c2,with_only_children,9
None,281,59,125,stayers,2019-04-01,2019-04-30,Q13c2,unknown_household_type,6
1 Condition,153,24,3,stayers,2019-04-01,2019-04-30,Q13c2,without_children,125
1 Condition,153,24,3,stayers,2019-04-01,2019-04-30,Q13c2,with_only_children,0
1 Condition,153,24,3,stayers,2019-04-01,2019-04-30,Q13c2,unknown_household_type,1
2 Conditions,70,8,2,stayers,2019-04-01,2019-04-30,Q13c2,without_children,60
2 Conditions,70,8,2,stayers,2019-04-01,2019-04-30,Q13c2,with_only_children,0
2 Conditions,70,8,2,stayers,2019-04-01,2019-04-30,Q13c2,unknown_household_type,0
3+ Conditions,47,2,0,stayers,2019-04-01,2019-04-30,Q13c2,without_children,45
3+ Conditions,47,2,0,stayers,2019-04-01,2019-04-30,Q13c2,with_only_children,0
3+ Conditions,47,2,0,stayers,2019-04-01,2019-04-30,Q13c2,unknown_household_type,0
Condition Unknown,10,0,2,stayers,2019-04-01,2019-04-30,Q13c2,without_children,8
Condition Unknown,10,0,2,stayers,2019-04-01,2019-04-30,Q13c2,with_only_children,0
Condition Unknown,10,0,2,stayers,2019-04-01,2019-04-30,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2019-04-01,2019-04-30,Q13c2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2019-04-01,2019-04-30,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2019-04-01,2019-04-30,Q13c2,unknown_household_type,0
Data Not Collected,17,1,4,stayers,2019-04-01,2019-04-30,Q13c2,without_children,9
Data Not Collected,17,1,4,stayers,2019-04-01,2019-04-30,Q13c2,with_only_children,2
Data Not Collected,17,1,4,stayers,2019-04-01,2019-04-30,Q13c2,unknown_household_type,1
