ethnicity,total,population,start_date,end_date,question,household_type,count
Non-Hispanic/Non-Latin(a)(o)(x),839,all_persons,2019-04-01,2019-04-30,Q12b,without_children,559
Non-Hispanic/Non-Latin(a)(o)(x),839,all_persons,2019-04-01,2019-04-30,Q12b,with_children_and_adults,262
Non-Hispanic/Non-Latin(a)(o)(x),839,all_persons,2019-04-01,2019-04-30,Q12b,with_only_children,11
Non-Hispanic/Non-Latin(a)(o)(x),839,all_persons,2019-04-01,2019-04-30,Q12b,unknown_household_type,7
Hispanic/Latin(a)(o)(x),77,all_persons,2019-04-01,2019-04-30,Q12b,without_children,35
Hispanic/Latin(a)(o)(x),77,all_persons,2019-04-01,2019-04-30,Q12b,with_children_and_adults,42
Hispanic/Latin(a)(o)(x),77,all_persons,2019-04-01,2019-04-30,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),77,all_persons,2019-04-01,2019-04-30,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2019-04-01,2019-04-30,Q12b,without_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-04-01,2019-04-30,Q12b,with_children_and_adults,1
Client Doesn't Know/Client Refused,1,all_persons,2019-04-01,2019-04-30,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-04-01,2019-04-30,Q12b,unknown_household_type,0
Data Not Collected,2,all_persons,2019-04-01,2019-04-30,Q12b,without_children,0
Data Not Collected,2,all_persons,2019-04-01,2019-04-30,Q12b,with_children_and_adults,1
Data Not Collected,2,all_persons,2019-04-01,2019-04-30,Q12b,with_only_children,0
Data Not Collected,2,all_persons,2019-04-01,2019-04-30,Q12b,unknown_household_type,1
