income_range,population,start_date,end_date,question,status,count
No Income,adults,2019-04-01,2019-04-30,Q16,income_at_start,213
No Income,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,9
No Income,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,82
$1 -  $150,adults,2019-04-01,2019-04-30,Q16,income_at_start,2
$1 -  $150,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,1
$151 - $250,adults,2019-04-01,2019-04-30,Q16,income_at_start,11
$151 - $250,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,3
$251 - $500,adults,2019-04-01,2019-04-30,Q16,income_at_start,24
$251 - $500,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,1
$251 - $500,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,10
$501 - $1000,adults,2019-04-01,2019-04-30,Q16,income_at_start,115
$501 - $1000,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,19
$501 - $1000,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,39
$1001 - $1500,adults,2019-04-01,2019-04-30,Q16,income_at_start,84
$1001 - $1500,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,15
$1001 - $1500,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,34
$1501 - $2000,adults,2019-04-01,2019-04-30,Q16,income_at_start,69
$1501 - $2000,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,7
$1501 - $2000,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,22
$2001+,adults,2019-04-01,2019-04-30,Q16,income_at_start,73
$2001+,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,5
$2001+,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,36
Client Doesn't Know/Client Refused,adults,2019-04-01,2019-04-30,Q16,income_at_start,1
Client Doesn't Know/Client Refused,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,0
Data Not Collected,adults,2019-04-01,2019-04-30,Q16,income_at_start,132
Data Not Collected,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,3
Data Not Collected,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,72
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2019-04-01,2019-04-30,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,302
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2019-04-01,2019-04-30,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,64
Number of Adult Stayers without Required Annual Assessment,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2019-04-01,2019-04-30,Q16,income_at_start,724
Total Adults,adults,2019-04-01,2019-04-30,Q16,income_at_latest_annual_assessment_for_stayers,425
Total Adults,adults,2019-04-01,2019-04-30,Q16,income_at_exit_for_leavers,299
