report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,919,all_persons,2019-04-01,2019-04-30,Q5a
Number of Adults (age 18 or over),724,all_persons,2019-04-01,2019-04-30,Q5a
Number of Children (under age 18),189,all_persons,2019-04-01,2019-04-30,Q5a
Number of Persons with Unknown Age,6,all_persons,2019-04-01,2019-04-30,Q5a
Number of Leavers,341,all_persons,2019-04-01,2019-04-30,Q5a
Number of Adult Leavers,299,all_persons,2019-04-01,2019-04-30,Q5a
Number of Adult and Head of Household Leavers,299,all_persons,2019-04-01,2019-04-30,Q5a
Number of Stayers,578,all_persons,2019-04-01,2019-04-30,Q5a
Number of Adult Stayers,425,all_persons,2019-04-01,2019-04-30,Q5a
Number of Veterans,51,all_persons,2019-04-01,2019-04-30,Q5a
Number of Chronically Homeless Persons,102,all_persons,2019-04-01,2019-04-30,Q5a
Number of Youth Under Age 25,59,all_persons,2019-04-01,2019-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,4,all_persons,2019-04-01,2019-04-30,Q5a
Number of Adult Heads of Household,622,all_persons,2019-04-01,2019-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2019-04-01,2019-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,123,all_persons,2019-04-01,2019-04-30,Q5a
