"""Total Number of Persons Served""",550
"""Number of Adults (age 18 or over)""",403
"""Number of Children (under age 18)""",145
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",102
"""Number of Adult Leavers""",89
"""Number of Adult and Head of Household Leavers""",89
"""Number of Stayers""",448
"""Number of Adult Stayers""",314
"""Number of Veterans""",31
"""Number of Chronically Homeless Persons""",81
"""Number of Youth Under Age 25""",21
"""Number of Parenting Youth Under Age 25 with Children""",3
"""Number of Adult Heads of Household""",341
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",113
