, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",29,23,6,0,0
"""8 to 14 days""",1,1,0,0,0
"""15 to 21 days""",2,2,0,0,0
"""22 to 30 days""",13,5,8,0,0
"""31 to 60 days""",21,20,1,0,0
"""61 to 180 days""",77,52,25,0,0
"""181 to 365 days""",35,14,21,0,0
"""366-730 days (1-2 years)""",23,21,2,0,0
"""731 days or more""",41,32,9,0,0
"""Total (persons moved into housing)""",242,170,72,0,0
"""Not yet moved into housing""",27,3,24,0,0
"""Data not collected""",8,5,3,0,0
"""Total persons""",277,178,99,0,0
