, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",110,5,23
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",56,20,6
"""Social Security Disability Insurance (SSDI)""",46,10,9
"""VA Service - Connected Disability Compensation""",6,3,2
"""VA Non-Service Connected Disability Pension""",3,1,1
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",1,0,0
"""Temporary Assistance for Needy Families (TANF)""",16,0,2
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",4,2,1
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",9,0,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",3,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,44,0
