, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",9,11,20,0.45,1,4,5,0.2,0,0,0,0.0
"""Supplemental Security Income (SSI)""",6,0,6,1.0,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",8,0,8,1.0,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""Other source""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",18,24,42,0.43,0,3,3,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",38,36,74,,1,7,8,,0,0,0,
