, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",5,0,1
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",7,4,1
"""Social Security Disability Insurance (SSDI)""",5,1,2
"""VA Service - Connected Disability Compensation""",6,3,2
"""VA Non-Service Connected Disability Pension""",3,0,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",0,1,1
"""Pension or retirement income from a former job""",0,0,0
"""Child Support""",0,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",0,0,0
"""Veterans with Income Information at Start and Annual Assessment/Exit""",0,9,0
