income_range,population,start_date,end_date,question,status,count
No Income,adults,2016-06-01,2016-06-30,Q16,income_at_start,112
No Income,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,9
No Income,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,16
$1 -  $150,adults,2016-06-01,2016-06-30,Q16,income_at_start,2
$1 -  $150,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,1
$151 - $250,adults,2016-06-01,2016-06-30,Q16,income_at_start,5
$151 - $250,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,1
$251 - $500,adults,2016-06-01,2016-06-30,Q16,income_at_start,21
$251 - $500,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,1
$251 - $500,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,2
$501 - $1000,adults,2016-06-01,2016-06-30,Q16,income_at_start,69
$501 - $1000,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,11
$501 - $1000,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,8
$1001 - $1500,adults,2016-06-01,2016-06-30,Q16,income_at_start,66
$1001 - $1500,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,8
$1001 - $1500,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,13
$1501 - $2000,adults,2016-06-01,2016-06-30,Q16,income_at_start,38
$1501 - $2000,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,1
$1501 - $2000,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,15
$2001+,adults,2016-06-01,2016-06-30,Q16,income_at_start,29
$2001+,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,3
$2001+,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,10
Client Doesn't Know/Client Refused,adults,2016-06-01,2016-06-30,Q16,income_at_start,0
Client Doesn't Know/Client Refused,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,0
Data Not Collected,adults,2016-06-01,2016-06-30,Q16,income_at_start,36
Data Not Collected,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,1
Data Not Collected,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,6
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2016-06-01,2016-06-30,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,200
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2016-06-01,2016-06-30,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,72
Number of Adult Stayers without Required Annual Assessment,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2016-06-01,2016-06-30,Q16,income_at_start,378
Total Adults,adults,2016-06-01,2016-06-30,Q16,income_at_latest_annual_assessment_for_stayers,306
Total Adults,adults,2016-06-01,2016-06-30,Q16,income_at_exit_for_leavers,72
