dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,6,all_persons,2016-06-01,2016-06-30,Q14b,without_children,2
Yes,6,all_persons,2016-06-01,2016-06-30,Q14b,with_children_and_adults,4
Yes,6,all_persons,2016-06-01,2016-06-30,Q14b,with_only_children,0
Yes,6,all_persons,2016-06-01,2016-06-30,Q14b,unknown_household_type,0
No,26,all_persons,2016-06-01,2016-06-30,Q14b,without_children,8
No,26,all_persons,2016-06-01,2016-06-30,Q14b,with_children_and_adults,18
No,26,all_persons,2016-06-01,2016-06-30,Q14b,with_only_children,0
No,26,all_persons,2016-06-01,2016-06-30,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2016-06-01,2016-06-30,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2016-06-01,2016-06-30,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2016-06-01,2016-06-30,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2016-06-01,2016-06-30,Q14b,unknown_household_type,0
Data Not Collected,2,all_persons,2016-06-01,2016-06-30,Q14b,without_children,2
Data Not Collected,2,all_persons,2016-06-01,2016-06-30,Q14b,with_children_and_adults,0
Data Not Collected,2,all_persons,2016-06-01,2016-06-30,Q14b,with_only_children,0
Data Not Collected,2,all_persons,2016-06-01,2016-06-30,Q14b,unknown_household_type,0
