ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,46,all_persons,2016-06-01,2016-06-30,Q26b,without_children,46
Chronically Homeless ,46,all_persons,2016-06-01,2016-06-30,Q26b,with_children_and_adults,0
Chronically Homeless ,46,all_persons,2016-06-01,2016-06-30,Q26b,with_only_children,0
Chronically Homeless ,46,all_persons,2016-06-01,2016-06-30,Q26b,unknown_household_type,0
Not Chronically Homeless,448,all_persons,2016-06-01,2016-06-30,Q26b,without_children,190
Not Chronically Homeless,448,all_persons,2016-06-01,2016-06-30,Q26b,with_children_and_adults,247
Not Chronically Homeless,448,all_persons,2016-06-01,2016-06-30,Q26b,with_only_children,7
Not Chronically Homeless,448,all_persons,2016-06-01,2016-06-30,Q26b,unknown_household_type,4
Client Doesn't Know/Client Refused,0,all_persons,2016-06-01,2016-06-30,Q26b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2016-06-01,2016-06-30,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2016-06-01,2016-06-30,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2016-06-01,2016-06-30,Q26b,unknown_household_type,0
Data Not Collected,39,all_persons,2016-06-01,2016-06-30,Q26b,without_children,29
Data Not Collected,39,all_persons,2016-06-01,2016-06-30,Q26b,with_children_and_adults,8
Data Not Collected,39,all_persons,2016-06-01,2016-06-30,Q26b,with_only_children,0
Data Not Collected,39,all_persons,2016-06-01,2016-06-30,Q26b,unknown_household_type,2
