conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,91,9,4,stayers,2016-06-01,2016-06-30,Q13c1,without_children,78
Mental Health Disorder,91,9,4,stayers,2016-06-01,2016-06-30,Q13c1,with_only_children,0
Mental Health Disorder,91,9,4,stayers,2016-06-01,2016-06-30,Q13c1,unknown_household_type,0
Alcohol Use Disorder,12,0,0,stayers,2016-06-01,2016-06-30,Q13c1,without_children,12
Alcohol Use Disorder,12,0,0,stayers,2016-06-01,2016-06-30,Q13c1,with_only_children,0
Alcohol Use Disorder,12,0,0,stayers,2016-06-01,2016-06-30,Q13c1,unknown_household_type,0
Drug Use Disorder,7,1,0,stayers,2016-06-01,2016-06-30,Q13c1,without_children,5
Drug Use Disorder,7,1,0,stayers,2016-06-01,2016-06-30,Q13c1,with_only_children,1
Drug Use Disorder,7,1,0,stayers,2016-06-01,2016-06-30,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,13,1,0,stayers,2016-06-01,2016-06-30,Q13c1,without_children,12
Both Alcohol and Drug Use Disorders,13,1,0,stayers,2016-06-01,2016-06-30,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,13,1,0,stayers,2016-06-01,2016-06-30,Q13c1,unknown_household_type,0
Chronic Health Condition,40,4,1,stayers,2016-06-01,2016-06-30,Q13c1,without_children,35
Chronic Health Condition,40,4,1,stayers,2016-06-01,2016-06-30,Q13c1,with_only_children,0
Chronic Health Condition,40,4,1,stayers,2016-06-01,2016-06-30,Q13c1,unknown_household_type,0
HIV/AIDS,87,1,0,stayers,2016-06-01,2016-06-30,Q13c1,without_children,85
HIV/AIDS,87,1,0,stayers,2016-06-01,2016-06-30,Q13c1,with_only_children,1
HIV/AIDS,87,1,0,stayers,2016-06-01,2016-06-30,Q13c1,unknown_household_type,0
Development Disability,14,3,4,stayers,2016-06-01,2016-06-30,Q13c1,without_children,7
Development Disability,14,3,4,stayers,2016-06-01,2016-06-30,Q13c1,with_only_children,0
Development Disability,14,3,4,stayers,2016-06-01,2016-06-30,Q13c1,unknown_household_type,0
Physical Disability,53,8,1,stayers,2016-06-01,2016-06-30,Q13c1,without_children,44
Physical Disability,53,8,1,stayers,2016-06-01,2016-06-30,Q13c1,with_only_children,0
Physical Disability,53,8,1,stayers,2016-06-01,2016-06-30,Q13c1,unknown_household_type,0
