number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,107
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,2
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,24
Adults with Only Other Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,104
Adults with Only Other Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,22
Adults with Only Other Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,17
Adults with Both Earned and Other Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,19
Adults with Both Earned and Other Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,9
Adults with No Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,142
Adults with No Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,10
Adults with No Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,22
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,6
Adults with Missing Income Information,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,200
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,72
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,378
Total Adults,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,306
Total Adults,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,72
1 or More Source of Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,246
1 or More Source of Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,28
1 or More Source of Income,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,52
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_annual_assessment_stayers,34
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-06-01,2016-06-30,Q18,number_of_adults_at_exit_leavers,0
