report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,533,all_persons,2016-06-01,2016-06-30,Q5a
Number of Adults (age 18 or over),378,all_persons,2016-06-01,2016-06-30,Q5a
Number of Children (under age 18),152,all_persons,2016-06-01,2016-06-30,Q5a
Number of Persons with Unknown Age,3,all_persons,2016-06-01,2016-06-30,Q5a
Number of Leavers,122,all_persons,2016-06-01,2016-06-30,Q5a
Number of Adult Leavers,72,all_persons,2016-06-01,2016-06-30,Q5a
Number of Adult and Head of Household Leavers,73,all_persons,2016-06-01,2016-06-30,Q5a
Number of Stayers,411,all_persons,2016-06-01,2016-06-30,Q5a
Number of Adult Stayers,306,all_persons,2016-06-01,2016-06-30,Q5a
Number of Veterans,22,all_persons,2016-06-01,2016-06-30,Q5a
Number of Chronically Homeless Persons,46,all_persons,2016-06-01,2016-06-30,Q5a
Number of Youth Under Age 25,24,all_persons,2016-06-01,2016-06-30,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2016-06-01,2016-06-30,Q5a
Number of Adult Heads of Household,310,all_persons,2016-06-01,2016-06-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2016-06-01,2016-06-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,108,all_persons,2016-06-01,2016-06-30,Q5a
