"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",121,2,21
"""Adults with Only Other Income""",107,21,13
"""Adults with Both Earned and Other Income""",19,0,4
"""Adults with No Income""",150,11,17
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",9,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,242,0
"""Number of Adult Stayers without Required Annual Assessment""",0,75,0
"""Total Adults""",406,351,55
"""1 or More Source of Income""",265,28,42
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,34,0
