, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",1,12,13,0.08,0,11,11,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",2,1,3,0.67,3,0,3,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,1,1,2,0.5,0,0,0,0.0
"""Retirement Income from Social Security""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,3,3,0.0,0,0,0,0.0
"""Other source""",0,0,0,0.0,1,1,2,0.5,0,0,0,0.0
"""No Sources""",3,5,8,0.38,0,7,7,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",9,18,27,,5,20,25,,0,0,0,
