"""Total Number of Persons Served""",577
"""Number of Adults (age 18 or over)""",406
"""Number of Children (under age 18)""",169
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",98
"""Number of Adult Leavers""",55
"""Number of Adult and Head of Household Leavers""",55
"""Number of Stayers""",479
"""Number of Adult Stayers""",351
"""Number of Veterans""",22
"""Number of Chronically Homeless Persons""",46
"""Number of Youth Under Age 25""",25
"""Number of Parenting Youth Under Age 25 with Children""",9
"""Number of Adult Heads of Household""",325
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",109
