, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",140,2,25
"""Unemployment Insurance""",1,1,0
"""Supplemental Security Income (SSI)""",64,15,7
"""Social Security Disability Insurance (SSDI)""",46,9,3
"""VA Service - Connected Disability Compensation""",5,0,1
"""VA Non-Service Connected Disability Pension""",2,0,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",8,0,2
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",5,0,0
"""Pension or retirement income from a former job""",5,0,0
"""Child Support""",15,0,3
"""Alimony and other spousal support""",1,0,0
"""Other Source""",4,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,34,0
