, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",95,72,23,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Place not meant for human habitation""",37,32,5,0,0
"""Safe Haven""",2,1,1,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",137,108,29,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",2,2,0,0,0
"""Jail, prison or juvenile detention facility""",5,5,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",9,9,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",3,3,0,0,0
"""Owned by client, no ongoing housing subsidy""",14,8,6,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",154,101,53,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",8,3,5,0,0
"""Hotel or motel paid for without emergency shelter voucher""",23,11,12,0,0
"""Staying or living in a friend''s room, apartment or house""",21,12,9,0,0
"""Staying or living in a family member''s room, apartment or house""",31,19,12,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",6,5,0,0,1
"""Subtotal""",260,162,97,0,1
"""Total""",406,279,126,0,1
