ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,65,all_households,2018-02-01,2018-02-28,Q26a,without_children,61
Chronically Homeless ,65,all_households,2018-02-01,2018-02-28,Q26a,with_children_and_adults,3
Chronically Homeless ,65,all_households,2018-02-01,2018-02-28,Q26a,with_only_children,1
Chronically Homeless ,65,all_households,2018-02-01,2018-02-28,Q26a,unknown_household_type,0
Not Chronically Homeless,288,all_households,2018-02-01,2018-02-28,Q26a,without_children,226
Not Chronically Homeless,288,all_households,2018-02-01,2018-02-28,Q26a,with_children_and_adults,61
Not Chronically Homeless,288,all_households,2018-02-01,2018-02-28,Q26a,with_only_children,1
Not Chronically Homeless,288,all_households,2018-02-01,2018-02-28,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,5,all_households,2018-02-01,2018-02-28,Q26a,without_children,5
Client Doesn't Know/Client Refused,5,all_households,2018-02-01,2018-02-28,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,5,all_households,2018-02-01,2018-02-28,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,5,all_households,2018-02-01,2018-02-28,Q26a,unknown_household_type,0
Data Not Collected,9,all_households,2018-02-01,2018-02-28,Q26a,without_children,9
Data Not Collected,9,all_households,2018-02-01,2018-02-28,Q26a,with_children_and_adults,0
Data Not Collected,9,all_households,2018-02-01,2018-02-28,Q26a,with_only_children,0
Data Not Collected,9,all_households,2018-02-01,2018-02-28,Q26a,unknown_household_type,0
