veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,19,all_persons,2018-02-01,2018-02-28,Q25a,without_children,19
Chronically Homeless Veteran,19,all_persons,2018-02-01,2018-02-28,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,19,all_persons,2018-02-01,2018-02-28,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,14,all_persons,2018-02-01,2018-02-28,Q25a,without_children,14
Non-Chronically Homeless Veteran,14,all_persons,2018-02-01,2018-02-28,Q25a,with_children_and_adults,0
Non-Chronically Homeless Veteran,14,all_persons,2018-02-01,2018-02-28,Q25a,unknown_household_type,0
Not a Veteran,394,all_persons,2018-02-01,2018-02-28,Q25a,without_children,298
Not a Veteran,394,all_persons,2018-02-01,2018-02-28,Q25a,with_children_and_adults,95
Not a Veteran,394,all_persons,2018-02-01,2018-02-28,Q25a,unknown_household_type,1
Client Doesn't Know/Client Refused,1,all_persons,2018-02-01,2018-02-28,Q25a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2018-02-01,2018-02-28,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2018-02-01,2018-02-28,Q25a,unknown_household_type,0
Data Not Collected,7,all_persons,2018-02-01,2018-02-28,Q25a,without_children,6
Data Not Collected,7,all_persons,2018-02-01,2018-02-28,Q25a,with_children_and_adults,1
Data Not Collected,7,all_persons,2018-02-01,2018-02-28,Q25a,unknown_household_type,0
