number_of_chronically_homeless_persons_by_income_category,population,start_date,end_date,question,status,count
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_start,9
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,6
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with Only Other Income,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_start,32
Chronically Homeless Persons with Only Other Income,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,16
Chronically Homeless Persons with Only Other Income,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_start,2
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with No Income,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_start,25
Chronically Homeless Persons with No Income,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,9
Chronically Homeless Persons with No Income,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,1
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,1
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,33
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,2
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Total Chronically Homeless Persons,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_start,68
Total Chronically Homeless Persons,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,66
Total Chronically Homeless Persons,chronically_homeless,2018-02-01,2018-02-28,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,2
