persons_served,total,population,start_date,end_date,question,household_type,count
Adults,435,all_persons,2018-02-01,2018-02-28,Q7a,without_children,338
Adults,435,all_persons,2018-02-01,2018-02-28,Q7a,with_children_and_adults,96
Adults,435,all_persons,2018-02-01,2018-02-28,Q7a,with_only_children,0
Adults,435,all_persons,2018-02-01,2018-02-28,Q7a,unknown_household_type,1
Children,150,all_persons,2018-02-01,2018-02-28,Q7a,without_children,0
Children,150,all_persons,2018-02-01,2018-02-28,Q7a,with_children_and_adults,137
Children,150,all_persons,2018-02-01,2018-02-28,Q7a,with_only_children,13
Children,150,all_persons,2018-02-01,2018-02-28,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2018-02-01,2018-02-28,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2018-02-01,2018-02-28,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2018-02-01,2018-02-28,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2018-02-01,2018-02-28,Q7a,unknown_household_type,0
Data Not Collected,2,all_persons,2018-02-01,2018-02-28,Q7a,without_children,0
Data Not Collected,2,all_persons,2018-02-01,2018-02-28,Q7a,with_children_and_adults,0
Data Not Collected,2,all_persons,2018-02-01,2018-02-28,Q7a,with_only_children,0
Data Not Collected,2,all_persons,2018-02-01,2018-02-28,Q7a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,137,all_persons,2018-02-01,2018-02-28,Q7a,without_children,75
For PSH and RRH - the total persons served who moved into housing,137,all_persons,2018-02-01,2018-02-28,Q7a,with_children_and_adults,62
For PSH and RRH - the total persons served who moved into housing,137,all_persons,2018-02-01,2018-02-28,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,137,all_persons,2018-02-01,2018-02-28,Q7a,unknown_household_type,0
