conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,132,16,5,start,2018-02-01,2018-02-28,Q13a1,without_children,109
Mental Health Disorder,132,16,5,start,2018-02-01,2018-02-28,Q13a1,with_only_children,2
Mental Health Disorder,132,16,5,start,2018-02-01,2018-02-28,Q13a1,unknown_household_type,0
Alcohol Use Disorder,17,0,0,start,2018-02-01,2018-02-28,Q13a1,without_children,17
Alcohol Use Disorder,17,0,0,start,2018-02-01,2018-02-28,Q13a1,with_only_children,0
Alcohol Use Disorder,17,0,0,start,2018-02-01,2018-02-28,Q13a1,unknown_household_type,0
Drug Use Disorder,13,3,0,start,2018-02-01,2018-02-28,Q13a1,without_children,10
Drug Use Disorder,13,3,0,start,2018-02-01,2018-02-28,Q13a1,with_only_children,0
Drug Use Disorder,13,3,0,start,2018-02-01,2018-02-28,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,21,1,0,start,2018-02-01,2018-02-28,Q13a1,without_children,19
Both Alcohol and Drug Use Disorders,21,1,0,start,2018-02-01,2018-02-28,Q13a1,with_only_children,1
Both Alcohol and Drug Use Disorders,21,1,0,start,2018-02-01,2018-02-28,Q13a1,unknown_household_type,0
Chronic Health Condition,70,16,4,start,2018-02-01,2018-02-28,Q13a1,without_children,50
Chronic Health Condition,70,16,4,start,2018-02-01,2018-02-28,Q13a1,with_only_children,0
Chronic Health Condition,70,16,4,start,2018-02-01,2018-02-28,Q13a1,unknown_household_type,0
HIV/AIDS,79,0,0,start,2018-02-01,2018-02-28,Q13a1,without_children,78
HIV/AIDS,79,0,0,start,2018-02-01,2018-02-28,Q13a1,with_only_children,1
HIV/AIDS,79,0,0,start,2018-02-01,2018-02-28,Q13a1,unknown_household_type,0
Development Disability,28,5,7,start,2018-02-01,2018-02-28,Q13a1,without_children,16
Development Disability,28,5,7,start,2018-02-01,2018-02-28,Q13a1,with_only_children,0
Development Disability,28,5,7,start,2018-02-01,2018-02-28,Q13a1,unknown_household_type,0
Physical Disability,94,12,0,start,2018-02-01,2018-02-28,Q13a1,without_children,82
Physical Disability,94,12,0,start,2018-02-01,2018-02-28,Q13a1,with_only_children,0
Physical Disability,94,12,0,start,2018-02-01,2018-02-28,Q13a1,unknown_household_type,0
