non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_start,137
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,20
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_exit_for_leavers,29
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_start,7
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_exit_for_leavers,0
TANF Child Care Services,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_start,4
TANF Child Care Services,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_exit_for_leavers,2
TANF Transportation Services,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_start,0
TANF Transportation Services,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_start,1
Other TANF-Funded Services,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_exit_for_leavers,0
Other Source,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_start,6
Other Source,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,11
Other Source,all_persons,2018-02-01,2018-02-28,Q20a,benefit_at_exit_for_leavers,0
