report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,587,all_persons,2018-02-01,2018-02-28,Q5a
Number of Adults (age 18 or over),435,all_persons,2018-02-01,2018-02-28,Q5a
Number of Children (under age 18),150,all_persons,2018-02-01,2018-02-28,Q5a
Number of Persons with Unknown Age,2,all_persons,2018-02-01,2018-02-28,Q5a
Number of Leavers,111,all_persons,2018-02-01,2018-02-28,Q5a
Number of Adult Leavers,88,all_persons,2018-02-01,2018-02-28,Q5a
Number of Adult and Head of Household Leavers,88,all_persons,2018-02-01,2018-02-28,Q5a
Number of Stayers,476,all_persons,2018-02-01,2018-02-28,Q5a
Number of Adult Stayers,347,all_persons,2018-02-01,2018-02-28,Q5a
Number of Veterans,33,all_persons,2018-02-01,2018-02-28,Q5a
Number of Chronically Homeless Persons,77,all_persons,2018-02-01,2018-02-28,Q5a
Number of Youth Under Age 25,26,all_persons,2018-02-01,2018-02-28,Q5a
Number of Parenting Youth Under Age 25 with Children,4,all_persons,2018-02-01,2018-02-28,Q5a
Number of Adult Heads of Household,365,all_persons,2018-02-01,2018-02-28,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2018-02-01,2018-02-28,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,112,all_persons,2018-02-01,2018-02-28,Q5a
