income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,5,18,23,0.22,3,5,8,0.38,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
Supplemental Security Income (SSI),12,1,13,0.92,2,0,2,1.0,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
Social Security Disability Insurance (SSDI),8,2,10,0.8,0,0,0,0.0,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1.0,2,1,3,0.67,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
Retirement Income from Social Security,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
Child Support,0,0,0,0.0,1,1,2,0.5,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
Other source,3,1,4,0.75,0,0,0,0.0,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
No Sources,9,19,28,0.32,0,3,3,0.0,0,0,0,0.0,adults,2018-02-01,2018-02-28,Q19b
Unduplicated Total Adults,30,39,69,NA,5,8,13,NA,0,0,0,NA,adults,2018-02-01,2018-02-28,Q19b
