length,total,population,start_date,end_date,question,status,count
30 days or less,182,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,63
30 days or less,182,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,119
31 to 60 days,87,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,14
31 to 60 days,87,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,73
61 to 90 days,65,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,6
61 to 90 days,65,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,59
91 to 180 days,86,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,22
91 to 180 days,86,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,64
181 to 365 days,41,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,6
181 to 365 days,41,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,35
366 to 730 Days (1-2 Yrs),45,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,0
366 to 730 Days (1-2 Yrs),45,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,45
"731 to 1,095 Days (2-3 Yrs)",26,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",26,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,26
"1,096 to 1,460 Days (3-4 Yrs)",5,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",5,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,5
"1,461 to 1,825 Days (5-5 Yrs)",5,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",5,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,5
"More than 1,825 Days (>5 Yrs)",45,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,0
"More than 1,825 Days (>5 Yrs)",45,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,45
Data Not Collected,0,all_persons,2018-02-01,2018-02-28,Q22a1,leavers,0
Data Not Collected,0,all_persons,2018-02-01,2018-02-28,Q22a1,stayers,0
