persons_served,total,population,start_date,end_date,question,household_type,count
Adults,821,all_persons,2019-08-01,2019-08-31,Q7a,without_children,579
Adults,821,all_persons,2019-08-01,2019-08-31,Q7a,with_children_and_adults,241
Adults,821,all_persons,2019-08-01,2019-08-31,Q7a,with_only_children,0
Adults,821,all_persons,2019-08-01,2019-08-31,Q7a,unknown_household_type,1
Children,365,all_persons,2019-08-01,2019-08-31,Q7a,without_children,0
Children,365,all_persons,2019-08-01,2019-08-31,Q7a,with_children_and_adults,350
Children,365,all_persons,2019-08-01,2019-08-31,Q7a,with_only_children,15
Children,365,all_persons,2019-08-01,2019-08-31,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2019-08-01,2019-08-31,Q7a,without_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-08-01,2019-08-31,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2019-08-01,2019-08-31,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-08-01,2019-08-31,Q7a,unknown_household_type,1
Data Not Collected,4,all_persons,2019-08-01,2019-08-31,Q7a,without_children,0
Data Not Collected,4,all_persons,2019-08-01,2019-08-31,Q7a,with_children_and_adults,0
Data Not Collected,4,all_persons,2019-08-01,2019-08-31,Q7a,with_only_children,0
Data Not Collected,4,all_persons,2019-08-01,2019-08-31,Q7a,unknown_household_type,4
For PSH and RRH - the total persons served who moved into housing,154,all_persons,2019-08-01,2019-08-31,Q7a,without_children,88
For PSH and RRH - the total persons served who moved into housing,154,all_persons,2019-08-01,2019-08-31,Q7a,with_children_and_adults,66
For PSH and RRH - the total persons served who moved into housing,154,all_persons,2019-08-01,2019-08-31,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,154,all_persons,2019-08-01,2019-08-31,Q7a,unknown_household_type,0
