conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_start,12
Mental Health Disorder,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_latest_assessment_for_stayers,9
Mental Health Disorder,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_exit_for_leavers,3
Alcohol Use Disorder,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_start,6
Alcohol Use Disorder,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_latest_assessment_for_stayers,6
Alcohol Use Disorder,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_exit_for_leavers,0
Drug Use Disorder,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_start,4
Drug Use Disorder,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_latest_assessment_for_stayers,2
Drug Use Disorder,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_exit_for_leavers,2
Both Alcohol and Drug Use Disorders,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_start,4
Both Alcohol and Drug Use Disorders,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_latest_assessment_for_stayers,2
Both Alcohol and Drug Use Disorders,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_exit_for_leavers,2
Chronic Health Condition,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_start,11
Chronic Health Condition,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_latest_assessment_for_stayers,10
Chronic Health Condition,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_exit_for_leavers,1
HIV/AIDS,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_start,3
HIV/AIDS,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_latest_assessment_for_stayers,3
HIV/AIDS,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_exit_for_leavers,0
Development Disability,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_start,3
Development Disability,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_latest_assessment_for_stayers,2
Development Disability,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_exit_for_leavers,2
Physical Disability,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_start,10
Physical Disability,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_latest_assessment_for_stayers,8
Physical Disability,veterans,2019-08-01,2019-08-31,Q25e,conditions_at_exit_for_leavers,2
