income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,7,29,36,0.19,4,20,24,0.17,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
Supplemental Security Income (SSI),13,4,17,0.76,4,2,6,0.67,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
Social Security Disability Insurance (SSDI),9,0,9,1.0,2,1,3,0.67,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
Private Disability Insurance,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
Temporary Assistance for Needy Families (TANF),1,2,3,0.33,1,2,3,0.33,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
Retirement Income from Social Security,0,2,2,0.0,1,0,1,1.0,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
Child Support,2,3,5,0.4,2,4,6,0.33,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
Other source,5,2,7,0.71,0,0,0,0.0,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
No Sources,19,43,62,0.31,1,19,20,0.05,0,0,0,0.0,adults,2019-08-01,2019-08-31,Q19b
Unduplicated Total Adults,50,79,129,NA,9,42,51,NA,0,0,0,NA,adults,2019-08-01,2019-08-31,Q19b
