count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_entry,469
No Sources,all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,22
No Sources,all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_exit_for_leavers,151
1 + Source(s),all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_entry,243
1 + Source(s),all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,37
1 + Source(s),all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_exit_for_leavers,74
Client Doesn't Know/Client Refused,all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_entry,0
Client Doesn't Know/Client Refused,all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_entry,109
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,459
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2019-08-01,2019-08-31,Q20b,benefit_at_exit_for_leavers,78
