number_of_chronically_homeless_persons_by_income_category,population,start_date,end_date,question,status,count
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_start,12
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,8
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,1
Chronically Homeless Persons with Only Other Income,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_start,40
Chronically Homeless Persons with Only Other Income,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,26
Chronically Homeless Persons with Only Other Income,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,6
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_start,4
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,3
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,1
Chronically Homeless Persons with No Income,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_start,42
Chronically Homeless Persons with No Income,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,12
Chronically Homeless Persons with No Income,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,9
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,31
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,1
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Total Chronically Homeless Persons,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_start,98
Total Chronically Homeless Persons,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,81
Total Chronically Homeless Persons,chronically_homeless,2019-08-01,2019-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,17
