conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,135,13,2,stayers,2019-02-01,2019-02-28,Q13c1,without_children,120
Mental Health Disorder,135,13,2,stayers,2019-02-01,2019-02-28,Q13c1,with_only_children,0
Mental Health Disorder,135,13,2,stayers,2019-02-01,2019-02-28,Q13c1,unknown_household_type,0
Alcohol Use Disorder,28,0,0,stayers,2019-02-01,2019-02-28,Q13c1,without_children,28
Alcohol Use Disorder,28,0,0,stayers,2019-02-01,2019-02-28,Q13c1,with_only_children,0
Alcohol Use Disorder,28,0,0,stayers,2019-02-01,2019-02-28,Q13c1,unknown_household_type,0
Drug Use Disorder,14,4,0,stayers,2019-02-01,2019-02-28,Q13c1,without_children,10
Drug Use Disorder,14,4,0,stayers,2019-02-01,2019-02-28,Q13c1,with_only_children,0
Drug Use Disorder,14,4,0,stayers,2019-02-01,2019-02-28,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,20,0,0,stayers,2019-02-01,2019-02-28,Q13c1,without_children,20
Both Alcohol and Drug Use Disorders,20,0,0,stayers,2019-02-01,2019-02-28,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,20,0,0,stayers,2019-02-01,2019-02-28,Q13c1,unknown_household_type,0
Chronic Health Condition,66,9,4,stayers,2019-02-01,2019-02-28,Q13c1,without_children,53
Chronic Health Condition,66,9,4,stayers,2019-02-01,2019-02-28,Q13c1,with_only_children,0
Chronic Health Condition,66,9,4,stayers,2019-02-01,2019-02-28,Q13c1,unknown_household_type,0
HIV/AIDS,79,5,0,stayers,2019-02-01,2019-02-28,Q13c1,without_children,74
HIV/AIDS,79,5,0,stayers,2019-02-01,2019-02-28,Q13c1,with_only_children,0
HIV/AIDS,79,5,0,stayers,2019-02-01,2019-02-28,Q13c1,unknown_household_type,0
Development Disability,30,3,6,stayers,2019-02-01,2019-02-28,Q13c1,without_children,21
Development Disability,30,3,6,stayers,2019-02-01,2019-02-28,Q13c1,with_only_children,0
Development Disability,30,3,6,stayers,2019-02-01,2019-02-28,Q13c1,unknown_household_type,0
Physical Disability,77,8,1,stayers,2019-02-01,2019-02-28,Q13c1,without_children,68
Physical Disability,77,8,1,stayers,2019-02-01,2019-02-28,Q13c1,with_only_children,0
Physical Disability,77,8,1,stayers,2019-02-01,2019-02-28,Q13c1,unknown_household_type,0
