income_range,population,start_date,end_date,question,status,count
No Income,adults,2019-02-01,2019-02-28,Q16,income_at_start,214
No Income,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,9
No Income,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,62
$1 -  $150,adults,2019-02-01,2019-02-28,Q16,income_at_start,3
$1 -  $150,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,0
$151 - $250,adults,2019-02-01,2019-02-28,Q16,income_at_start,12
$151 - $250,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,4
$251 - $500,adults,2019-02-01,2019-02-28,Q16,income_at_start,24
$251 - $500,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,1
$251 - $500,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,6
$501 - $1000,adults,2019-02-01,2019-02-28,Q16,income_at_start,120
$501 - $1000,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,18
$501 - $1000,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,50
$1001 - $1500,adults,2019-02-01,2019-02-28,Q16,income_at_start,80
$1001 - $1500,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,15
$1001 - $1500,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,27
$1501 - $2000,adults,2019-02-01,2019-02-28,Q16,income_at_start,82
$1501 - $2000,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,7
$1501 - $2000,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,34
$2001+,adults,2019-02-01,2019-02-28,Q16,income_at_start,55
$2001+,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,5
$2001+,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,28
Client Doesn't Know/Client Refused,adults,2019-02-01,2019-02-28,Q16,income_at_start,2
Client Doesn't Know/Client Refused,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,1
Data Not Collected,adults,2019-02-01,2019-02-28,Q16,income_at_start,135
Data Not Collected,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,3
Data Not Collected,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,75
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2019-02-01,2019-02-28,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,316
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2019-02-01,2019-02-28,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,66
Number of Adult Stayers without Required Annual Assessment,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2019-02-01,2019-02-28,Q16,income_at_start,727
Total Adults,adults,2019-02-01,2019-02-28,Q16,income_at_latest_annual_assessment_for_stayers,440
Total Adults,adults,2019-02-01,2019-02-28,Q16,income_at_exit_for_leavers,287
