number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,173
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,9
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,74
Adults with Only Other Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,167
Adults with Only Other Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,34
Adults with Only Other Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,60
Adults with Both Earned and Other Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,36
Adults with Both Earned and Other Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,3
Adults with Both Earned and Other Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,15
Adults with No Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,341
Adults with No Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,12
Adults with No Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,137
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,1
Adults with Missing Income Information,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,6
Adults with Missing Income Information,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,316
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,66
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,727
Total Adults,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,440
Total Adults,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,287
1 or More Source of Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,407
1 or More Source of Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,49
1 or More Source of Income,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,157
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_annual_assessment_stayers,58
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-02-01,2019-02-28,Q18,number_of_adults_at_exit_leavers,0
