non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_start,242
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,28
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_exit_for_leavers,97
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_start,16
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,1
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_exit_for_leavers,8
TANF Child Care Services,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_start,4
TANF Child Care Services,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_exit_for_leavers,0
TANF Transportation Services,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_start,0
TANF Transportation Services,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_start,5
Other TANF-Funded Services,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_exit_for_leavers,3
Other Source,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_start,10
Other Source,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,11
Other Source,all_persons,2019-02-01,2019-02-28,Q20a,benefit_at_exit_for_leavers,2
