income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,12,55,67,0.18,0,21,21,0.0,0,1,1,0.0,adults,2019-02-01,2019-02-28,Q19b
Supplemental Security Income (SSI),18,3,21,0.86,2,0,2,1.0,0,0,0,0.0,adults,2019-02-01,2019-02-28,Q19b
Social Security Disability Insurance (SSDI),33,1,34,0.97,2,1,3,0.67,0,0,0,0.0,adults,2019-02-01,2019-02-28,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-02-01,2019-02-28,Q19b
Private Disability Insurance,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-02-01,2019-02-28,Q19b
Worker's Compensation,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2019-02-01,2019-02-28,Q19b
Temporary Assistance for Needy Families (TANF),3,1,4,0.75,0,3,3,0.0,0,0,0,0.0,adults,2019-02-01,2019-02-28,Q19b
Retirement Income from Social Security,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-02-01,2019-02-28,Q19b
Pension or retirement income from a former job,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-02-01,2019-02-28,Q19b
Child Support,0,7,7,0.0,0,2,2,0.0,0,0,0,0.0,adults,2019-02-01,2019-02-28,Q19b
Other source,3,1,4,0.75,0,2,2,0.0,0,1,1,0.0,adults,2019-02-01,2019-02-28,Q19b
No Sources,11,38,49,0.22,1,8,9,0.11,0,0,0,0.0,adults,2019-02-01,2019-02-28,Q19b
Unduplicated Total Adults,66,102,168,NA,4,32,36,NA,0,1,1,NA,adults,2019-02-01,2019-02-28,Q19b
