number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,115
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,3
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,32
Adults with Only Other Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,97
Adults with Only Other Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,21
Adults with Only Other Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,24
Adults with Both Earned and Other Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,21
Adults with Both Earned and Other Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,5
Adults with No Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,209
Adults with No Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,10
Adults with No Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,58
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,7
Adults with Missing Income Information,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,225
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,72
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,450
Total Adults,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,331
Total Adults,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,119
1 or More Source of Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,251
1 or More Source of Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,27
1 or More Source of Income,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,64
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_annual_assessment_stayers,34
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-03-01,2016-03-31,Q18,number_of_adults_at_exit_leavers,0
