number_of_chronically_homeless_persons_by_income_category,population,start_date,end_date,question,status,count
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_start,4
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,1
Chronically Homeless Persons with Only Other Income,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_start,19
Chronically Homeless Persons with Only Other Income,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,5
Chronically Homeless Persons with Only Other Income,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,3
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with No Income,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_start,26
Chronically Homeless Persons with No Income,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,2
Chronically Homeless Persons with No Income,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,6
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,32
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Total Chronically Homeless Persons,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_start,49
Total Chronically Homeless Persons,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,39
Total Chronically Homeless Persons,chronically_homeless,2016-03-01,2016-03-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,10
