, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",103,78,24,0,1
"""Transitional housing for homeless persons (including homeless youth)""",4,4,0,0,0
"""Place not meant for human habitation""",162,141,21,0,0
"""Safe Haven""",2,1,1,0,0
"""Host Home""",2,2,0,0,0
"""Subtotal""",273,226,46,0,1
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",2,2,0,0,0
"""Substance abuse treatment facility or detox center""",5,5,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",12,12,0,0,0
"""Jail, prison or juvenile detention facility""",11,11,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Subtotal""",33,33,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",7,6,1,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,0,1,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",1,1,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",236,162,71,0,3
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",13,12,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",82,53,28,0,1
"""Staying or living in a friend''s room, apartment or house""",88,76,12,0,0
"""Staying or living in a family member''s room, apartment or house""",91,54,37,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",19,11,8,0,0
"""Subtotal""",539,376,159,0,4
"""Total""",845,635,205,0,5
