, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",59,37,22,0,0
"""8 to 14 days""",7,7,0,0,0
"""15 to 21 days""",14,1,13,0,0
"""22 to 30 days""",14,5,9,0,0
"""31 to 60 days""",19,10,9,0,0
"""61 to 180 days""",32,14,18,0,0
"""181 to 365 days""",29,15,14,0,0
"""366-730 days (1-2 years)""",21,20,1,0,0
"""731 days or more""",46,35,11,0,0
"""Total (persons moved into housing)""",241,144,97,0,0
"""Not yet moved into housing""",12,9,3,0,0
"""Data not collected""",12,8,4,0,0
"""Total persons""",265,161,104,0,0
