"""Number of Youth by Income Category""", "Number of Youth at Start" , "Number of Youth at Annual Assessment (Stayers)" , "Number of Youth at Exit (Leavers)"
"""Youth with Only Earned Income (ie.e, Employment Income)""",19,0,4
"""Youth with Only Other Income""",3,0,1
"""Youth with Both Earned and Other Income""",1,0,0
"""Youth with No Income""",51,0,22
"""Youth with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Youth with Missing Income Information""",2,0,0
"""Number of Youth Stayers not yet Required to Have an Annual Assessment""",0,37,0
"""Number of Youth Stayers without Required Annual Assessment""",0,12,0
"""Total Youth""",76,49,27
"""1 or More Source of Income""",26,0,5
"""Youth with Income Information at Start and Annual Assessment/Exit""",0,0,0
