"""Total Number of Persons Served""",1173
"""Number of Adults (age 18 or over)""",844
"""Number of Children (under age 18)""",319
"""Number of Persons with Unknown Age""",10
"""Number of Leavers""",337
"""Number of Adult Leavers""",286
"""Number of Adult and Head of Household Leavers""",286
"""Number of Stayers""",836
"""Number of Adult Stayers""",558
"""Number of Veterans""",44
"""Number of Chronically Homeless Persons""",107
"""Number of Youth Under Age 25""",76
"""Number of Parenting Youth Under Age 25 with Children""",13
"""Number of Adult Heads of Household""",695
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",156
