, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",153,75,76,0,2
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",11,11,0,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",3,1,2,0,0
"""Staying or living with family, permanent tenure""",13,4,9,0,0
"""Staying or living with friends, permanent tenure""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",183,94,87,0,2
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",11,11,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Staying or living with family, temporary tenure""",26,26,0,0,0
"""Staying or living with friends, temporary tenure""",28,28,0,0,0
"""Place not meant for human habitation""",40,40,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",21,21,0,0,0
"""Host Home (non-crisis) """,2,2,0,0,0
"""Subtotal""",130,130,0,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",3,3,0,0,0
"""Jail, prison, or juvenile detention facility""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",6,6,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Deceased""",1,1,0,0,0
"""Other""",1,1,0,0,0
"""Client Doesn't Know/Client Refused""",6,6,0,0,0
"""Data Not Collected (no exit interview completed)""",8,6,2,0,0
"""Subtotal""",18,16,2,0,0
"""Total""",337,246,89,0,2
"""Total persons exiting to positive housing destinations""",64,21,43,0,0
"""Total persons whose destinations excluded them from the calculation""",1,1,0,0,0
"""Percentage""",0.19,0.09,0.48,0.0,0.0
