"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",206,9,52
"""Adults with Only Other Income""",168,40,46
"""Adults with Both Earned and Other Income""",40,3,8
"""Adults with No Income""",406,12,175
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",20,0,5
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,402,0
"""Number of Adult Stayers without Required Annual Assessment""",0,92,0
"""Total Adults""",844,558,286
"""1 or More Source of Income""",450,54,117
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,64,0
