, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",532,38,126
"""MEDICARE""",99,18,28
"""State Children's Health Insurance Program""",7,0,1
"""Veteran's Administration (VA) Medical Services""",21,13,5
"""Employer - Provided Health Insurance""",47,0,10
"""Health Insurance obtained through COBRA""",2,0,1
"""Private Pay Health Insurance""",35,2,2
"""State Health Insurance for Adults""",11,1,3
"""Indian Health Services Program""",3,0,1
"""Other""",4,0,1
"""No Health Insurance""",337,14,102
"""Client Doesn't Know/Client Refused""",1,0,1
"""Data Not Collected""",90,129,8
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,636,0
"""1 Source of Health Insurance""",566,44,125
"""More than 1 Source of Health Insurance""",87,13,22
