, "Total" , "Without Children", "With Children and Adults", "With Only Children", "Unknown Household Type"
"""7 days or less""",6,6,0,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",0,0,0,0,0
"""22 to 30 days""",0,0,0,0,0
"""31 to 60 days""",6,0,6,0,0
"""61 to 180 days""",0,0,0,0,0
"""181 to 365 days""",0,0,0,0,0
"""366 to 730 days (1-2 Yrs)""",0,0,0,0,0
"""Total (persons moved into housing)""",12,6,6,0,0
"""Average length of time to housing""",21,2,41,0,0
"""Persons who were exited without move-in""",0,0,0,0,0
"""Total""",12,6,6,0,0
