, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",1,1,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",155,79,72,0,4
"""Rental by client, with VASH subsidy""",2,0,2,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",9,6,3,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",8,2,6,0,0
"""Staying or living with friends, permanent tenure""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",1,1,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",176,89,83,0,4
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",17,17,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Staying or living with family, temporary tenure""",27,27,0,0,0
"""Staying or living with friends, temporary tenure""",24,24,0,0,0
"""Place not meant for human habitation""",23,23,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",21,21,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",115,115,0,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",3,3,0,0,0
"""Jail, prison, or juvenile detention facility""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",6,6,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",0,0,0,0,0
"""Client Doesn't Know/Client Refused""",2,2,0,0,0
"""Data Not Collected (no exit interview completed)""",0,0,0,0,0
"""Subtotal""",2,2,0,0,0
"""Total""",299,212,83,0,4
"""Total persons exiting to positive housing destinations""",59,26,33,0,0
"""Total persons whose destinations excluded them from the calculation""",1,1,0,0,0
"""Percentage""",0.2,0.12,0.4,0.0,0.0
