, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",5,28,33,0.15,5,16,21,0.24,1,0,1,1.0
"""Supplemental Security Income (SSI)""",10,5,15,0.67,1,2,3,0.33,1,1,2,0.5
"""Social Security Disability Insurance (SSDI)""",17,3,20,0.85,1,1,2,0.5,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,2,4,6,0.33,0,0,0,0.0
"""Retirement Income from Social Security""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,1,1,0.0,1,2,3,0.33,0,0,0,0.0
"""Other source""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",11,16,27,0.41,1,5,6,0.17,0,0,0,0.0
"""Unduplicated Total Adults""",41,53,94,,7,24,31,,1,1,2,
