, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",201,13,60
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",83,26,21
"""Social Security Disability Insurance (SSDI)""",79,11,24
"""VA Service - Connected Disability Compensation""",5,4,0
"""VA Non-Service Connected Disability Pension""",2,3,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",22,1,8
"""General Assistance (GA)""",1,0,0
"""Retirement Income from Social Security""",10,2,2
"""Pension or retirement income from a former job""",9,0,3
"""Child Support""",17,1,4
"""Alimony and other spousal support""",1,0,0
"""Other Source""",3,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,62,0
