"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",158,9,46
"""Adults with Only Other Income""",149,36,42
"""Adults with Both Earned and Other Income""",42,4,13
"""Adults with No Income""",352,13,143
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",7,0,1
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,337,0
"""Number of Adult Stayers without Required Annual Assessment""",0,68,0
"""Total Adults""",712,467,245
"""1 or More Source of Income""",368,52,106
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,62,0
