, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",194,10,42
"""$1 -  $150""",2,0,1
"""$151 - $250""",7,0,1
"""$251 - $500""",20,1,4
"""$501 - $1000""",117,20,37
"""$1001 - $1500""",76,17,19
"""$1501 - $2000""",63,7,16
"""$2001+""",64,4,23
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",169,3,102
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,337,0
"""Number of Adult Stayers without Required Annual Assessment""",0,68,0
"""Total Adults""",712,467,245
