"""Total Number of Persons Served""",938
"""Number of Adults (age 18 or over)""",712
"""Number of Children (under age 18)""",220
"""Number of Persons with Unknown Age""",6
"""Number of Leavers""",299
"""Number of Adult Leavers""",245
"""Number of Adult and Head of Household Leavers""",245
"""Number of Stayers""",639
"""Number of Adult Stayers""",467
"""Number of Veterans""",42
"""Number of Chronically Homeless Persons""",107
"""Number of Youth Under Age 25""",54
"""Number of Parenting Youth Under Age 25 with Children""",5
"""Number of Adult Heads of Household""",607
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",130
