income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,12,9,21,0.57,0,5,5,0.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
Supplemental Security Income (SSI),14,1,15,0.93,1,0,1,1.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
Social Security Disability Insurance (SSDI),16,1,17,0.94,1,0,1,1.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
VA Service-Connected Disability Compensation,2,1,3,0.67,0,0,0,0.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
Private Disability Insurance,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
Temporary Assistance for Needy Families (TANF),2,0,2,1.0,0,1,1,0.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
Retirement Income from Social Security,4,0,4,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
Child Support,0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
Other source,4,2,6,0.67,0,0,0,0.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
No Sources,20,32,52,0.38,0,1,1,0.0,0,0,0,0.0,adults,2021-03-01,2021-03-31,Q19b
Unduplicated Total Adults,60,45,105,NA,2,6,8,NA,0,0,0,NA,adults,2021-03-01,2021-03-31,Q19b
