number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,151
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,7
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,20
Adults with Only Other Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,210
Adults with Only Other Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,39
Adults with Only Other Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,36
Adults with Both Earned and Other Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,28
Adults with Both Earned and Other Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,7
Adults with No Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,510
Adults with No Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,15
Adults with No Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,117
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,20
Adults with Missing Income Information,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,2
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,411
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,272
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,926
Total Adults,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,744
Total Adults,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,182
1 or More Source of Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,435
1 or More Source of Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,47
1 or More Source of Income,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,68
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_annual_assessment_stayers,61
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-03-01,2021-03-31,Q18,number_of_adults_at_exit_leavers,0
