, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",131,8,18
"""Unemployment Insurance""",3,0,1
"""Supplemental Security Income (SSI)""",68,17,10
"""Social Security Disability Insurance (SSDI)""",53,10,8
"""VA Service - Connected Disability Compensation""",5,2,0
"""VA Non-Service Connected Disability Pension""",1,0,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",13,0,3
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",7,1,1
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",16,0,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",1,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,45,0
