, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",39,29,10,0,0
"""8 to 14 days""",10,0,10,0,0
"""15 to 21 days""",4,1,3,0,0
"""22 to 30 days""",20,4,16,0,0
"""31 to 60 days""",42,11,31,0,0
"""61 to 180 days""",31,15,15,1,0
"""181 to 365 days""",25,11,14,0,0
"""366-730 days (1-2 years)""",29,23,6,0,0
"""731 days or more""",24,24,0,0,0
"""Total (persons moved into housing)""",224,118,105,1,0
"""Not yet moved into housing""",34,3,31,0,0
"""Data not collected""",14,9,5,0,0
"""Total persons""",272,130,141,1,0
