, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",3,5,8,0.38,0,11,11,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",6,2,8,0.75,1,1,2,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",6,2,8,0.75,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,1,2,3,0.33,0,0,0,0.0
"""Retirement Income from Social Security""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,1,0,1,1.0,0,0,0,0.0
"""Other source""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",3,4,7,0.43,3,5,8,0.38,0,0,0,0.0
"""Unduplicated Total Adults""",15,12,27,,5,17,22,,0,0,0,
