, "Total" , "Without Children", "With Children and Adults", "With Only Children", "Unknown Household Type"
"""7 days or less""",10,0,10,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",0,0,0,0,0
"""22 to 30 days""",0,0,0,0,0
"""31 to 60 days""",4,0,4,0,0
"""61 to 180 days""",2,0,2,0,0
"""181 to 365 days""",0,0,0,0,0
"""366 to 730 days (1-2 Yrs)""",0,0,0,0,0
"""Total (persons moved into housing)""",16,0,16,0,0
"""Average length of time to housing""",28,0,28,0,0
"""Persons who were exited without move-in""",0,0,0,0,0
"""Total""",16,0,16,0,0
