, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",121,12,16
"""$1 -  $150""",2,1,0
"""$151 - $250""",6,0,0
"""$251 - $500""",18,0,3
"""$501 - $1000""",84,11,12
"""$1001 - $1500""",66,11,7
"""$1501 - $2000""",34,3,2
"""$2001+""",38,2,9
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",43,5,10
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,221,0
"""Number of Adult Stayers without Required Annual Assessment""",0,87,0
"""Total Adults""",412,353,59
