"""Total Number of Persons Served""",607
"""Number of Adults (age 18 or over)""",412
"""Number of Children (under age 18)""",193
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",99
"""Number of Adult Leavers""",59
"""Number of Adult and Head of Household Leavers""",59
"""Number of Stayers""",508
"""Number of Adult Stayers""",353
"""Number of Veterans""",20
"""Number of Chronically Homeless Persons""",49
"""Number of Youth Under Age 25""",19
"""Number of Parenting Youth Under Age 25 with Children""",5
"""Number of Adult Heads of Household""",334
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",132
